name,lon,lat,area_ha,reason,wltype,url
"Верхнее и среднее течение реки Нижняя Баиха","86.95","64.65","50600","1, 3, 5, 7","M, P, Tp, Ts, U, Xf, Xp","http://www.fesk.ru/wetlands/181.html"
"Салымо-Юганская болотная система","69.71667","60.96667","1500000","1, 2, 3","U, Xf, Xp","http://www.fesk.ru/wetlands/182.html"
"Водораздел Нумто","70.76806","63.18472","107387","1, 2, 3","M, O, Tp, P, U, Xp, Xf","http://www.fesk.ru/wetlands/183.html"
"Пойма среднего течения реки Обь","72.18333","61.25","550000","1, 2, 5, 6, 7, 8","P, Ts, Tp, O, M","http://www.fesk.ru/wetlands/184.html"
"Междуречье Назыма и Пима","70.66667","61.5","2025000","1, 2, 3, 8","M, N, O, P, Tp, U, Xp","http://www.fesk.ru/wetlands/185.html"
"Междуречье Колик-Егана и Сабун","79.45","61.31667","1288500","1, 3","M, O, P, Tp, Ts, Xf, Xp","http://www.fesk.ru/wetlands/186.html"
"Большое Васюганское болото","79.45","56.48472","5000000","1, 2, 3","U, Xf, Xp","http://www.fesk.ru/wetlands/187.html"
"Бассейн реки Польта","81.75","59.8","","3, 8","M, O, Ts, Xp","http://www.fesk.ru/wetlands/188.html"
"Вороговское многоостровье","89.53333","61.2","34000","1, 3, 5, 8","M, P, Ts, Xf","http://www.fesk.ru/wetlands/189.html"
"Елогуй-Артюгинское междуречье и левобережная пойма Среднего Енисея","87.41667","63.18333","57000","1, 3, 5","M, N, P, Tp, Ts, W, Xf","http://www.fesk.ru/wetlands/190.html"
"Большие Крутинские озёра","71.73333","56.13333","30000","1, 3","O","http://www.fesk.ru/wetlands/191.html"
"Саратовское болото","93.61667","56.51667","9400","1, 2, 6","Xp, U, Xf","http://www.fesk.ru/wetlands/192.html"
"Озеро Косоголь и прилегающая пойма реки Сереж (участок Сельгон)","90.25","55.5","10000","1, 3, 5","Ts, Tp, O, P, M","http://www.fesk.ru/wetlands/193.html"
"Озеро Улуг-Коль","90.83333","53.81667","750","1, 2, 3, 6","Q, Sp, P","http://www.fesk.ru/wetlands/194.html"
"Озёра Койбальской степи","91.18333","53.3","","—","Q","http://www.fesk.ru/wetlands/195.html"
"Карасукско-Бурлайская система озёр","78.21667","53.68333","2000","1, 3, 4, 5","O","http://www.fesk.ru/wetlands/196.html"
